Time,Time Code,Country Name,Country Code,GDP per person employed (constant 2017 PPP $) [SL.GDP.PCAP.EM.KD],CO2 emissions (kt) [EN.ATM.CO2E.KT],"Population, total [SP.POP.TOTL]"
2002,YR2002,Bulgaria,BGR,33942.885199737,43599.9984741211,7837161
2002,YR2002,Georgia,GEO,12610.6653116192,2960.00003814697,3978515
2002,YR2002,Kazakhstan,KAZ,27444.7710633074,131059.997558594,14858948
2002,YR2002,Kosovo,XKX,..,..,1702310
2002,YR2002,Moldova,MDA,13974.4111487265,7179.99982833862,2911385
2002,YR2002,Montenegro,MNE,45963.5304433606,1769.99998092651,609828
2002,YR2002,North Macedonia,MKD,36105.7021058601,8369.99988555908,2020157
2002,YR2002,Russian Federation,RUS,34848.8965249697,1565339.96582031,145306497
2002,YR2002,Serbia,SRB,24956.9083329798,48580.0018310547,7496522
2002,YR2002,Turkiye,TUR,47873.217001105,208110.000610352,65988663
2002,YR2002,Turkmenistan,TKM,14999.0656265217,41409.9998474121,4698968
2003,YR2003,Albania,ALB,20231.1858254904,4070.00017166138,3039616
2003,YR2003,Armenia,ARM,15762.2464538412,3500,3084102
2003,YR2003,Azerbaijan,AZE,11100.1999368637,28569.9996948242,8234100
2003,YR2003,Belarus,BLR,21449.1246848039,52700.0007629395,9796749
2003,YR2003,Bosnia and Herzegovina,BIH,29570.7834894598,14869.9998855591,4183757
2003,YR2003,Bulgaria,BGR,34630.1134952078,47930.0003051758,7775327
2003,YR2003,Georgia,GEO,13594.0877101463,3160.00008583069,3951736
2003,YR2003,Kazakhstan,KAZ,29462.3031497121,146139.999389648,14909019
2003,YR2003,Kosovo,XKX,..,..,1703466
2003,YR2003,Moldova,MDA,16453.6368373999,7769.99998092651,2903198
2003,YR2003,Montenegro,MNE,47042.0733797159,1889.99998569489,612267
2003,YR2003,North Macedonia,MKD,37989.7824046186,9140.00034332275,2026773
2003,YR2003,Russian Federation,RUS,37617.6614577399,1610000,144648618
2003,YR2003,Serbia,SRB,26579.5329370497,52150.0015258789,7480591
2003,YR2003,Turkiye,TUR,50994.7739786934,219160.003662109,66867327
2003,YR2003,Turkmenistan,TKM,15018.8328794165,46349.9984741211,4758988
2004,YR2004,Albania,ALB,21399.2293565367,4250,3026939
